date, price
2016/6/5,56.58
2016/6/6,56.58
2016/6/7,56.66
2016/6/8,56.6
2016/6/9,56.52
2016/6/10,56.48
2016/6/11,56.43
2016/6/12,56.37
2016/6/13,56.37
2016/6/14,56.17
2016/6/15,55.97
2016/6/16,55.82
2016/6/17,55.89
2016/6/18,55.97
2016/6/19,55.94
2016/6/20,55.89
2016/6/21,56.02
2016/6/22,55.94
2016/6/23,55.94
2016/6/24,55.98
2016/6/25,55.95
2016/6/26,55.98
2016/6/27,56.12
2016/6/28,56.15
2016/6/29,56.2
2016/6/30,56.2
2016/7/1,56.15
2016/7/2,56.24
2016/7/3,56.33
2016/7/4,56.33
2016/7/5,56.31
2016/7/6,56.36
2016/7/7,56.34
2016/7/8,56.2
2016/7/9,56.24
2016/7/10,56.24
2016/7/11,56.25
2016/7/12,56.14
2016/7/13,55.94
2016/7/14,56.04
2016/7/15,55.96
2016/7/16,55.95
2016/7/17,55.89
2016/7/18,55.86
2016/7/19,55.77
2016/7/20,55.69
2016/7/21,55.54
2016/7/22,55.55
2016/7/23,55.59
2016/7/24,55.5
2016/7/25,55.33
2016/7/26,55.3
2016/7/27,55.32
2016/7/28,55.37
2016/7/29,55.43
2016/7/30,55.39
2016/7/31,55.18
2016/8/1,55.19
2016/8/2,55.34
2016/8/3,55.35
2016/8/4,55.4
2016/8/5,55.36
2016/8/6,55.32
2016/8/7,55.28
2016/8/8,55.32
2016/8/9,55.28
2016/8/10,55.22
2016/8/11,55.23
2016/8/12,55.33
2016/8/13,55.36
2016/8/14,55.36
2016/8/15,55.43
2016/8/16,55.45
2016/8/17,55.45
2016/8/18,55.51
2016/8/19,55.59
2016/8/20,55.56
2016/8/21,55.6
2016/8/22,55.62
2016/8/23,55.56
2016/8/24,55.59
2016/8/25,55.63
2016/8/26,55.72
2016/8/27,55.62
2016/8/28,55.61
2016/8/29,55.53
2016/8/30,55.54
2016/8/31,55.55
2016/9/1,55.58
2016/9/2,55.58
2016/9/3,55.53
2016/9/4,55.45
2016/9/5,55.45
2016/9/6,55.44
2016/9/7,55.46
2016/9/8,55.49
2016/9/9,55.54
2016/9/10,55.48
2016/9/11,55.48
2016/9/12,55.47
2016/9/13,55.48
2016/9/14,55.46
2016/9/15,55.44
2016/9/16,55.45
2016/9/17,55.47
2016/9/18,55.48
2016/9/19,55.47
2016/9/20,55.46
2016/9/21,55.46
2016/9/22,55.46
2016/9/23,55.45
2016/9/24,55.43
2016/9/25,55.42
2016/9/26,55.44
2016/9/27,55.42
2016/9/28,55.42
2016/9/29,55.45
2016/9/30,55.56
2016/10/1,55.52
2016/10/2,55.52
2016/10/3,55.54
2016/10/4,55.56
2016/10/5,55.55
2016/10/6,55.55
2016/10/7,55.54
2016/10/8,55.55
2016/10/9,55.54
2016/10/10,55.54
2016/10/11,55.56
2016/10/12,55.57
2016/10/13,55.6
2016/10/14,55.59
2016/10/15,55.56
2016/10/16,55.58
2016/10/17,55.61
2016/10/18,55.62
2016/10/19,55.64
2016/10/20,55.58
2016/10/21,55.55
2016/10/22,55.53
2016/10/23,55.54
2016/10/24,55.56
2016/10/25,55.65
2016/10/26,55.65
2016/10/27,55.67
2016/10/28,55.65
2016/10/29,55.55
2016/10/30,55.45
2016/10/31,55.44
2016/11/1,55.32
2016/11/2,55.19
2016/11/3,55.22
2016/11/4,55.19
2016/11/5,55.16
2016/11/6,55.17
2016/11/7,55.24
2016/11/8,55.32
2016/11/9,55.31
2016/11/10,55.3
2016/11/11,55.32
2016/11/12,55.32
2016/11/13,55.3
2016/11/14,55.31
2016/11/15,55.31
2016/11/16,55.3
2016/11/17,55.3
2016/11/18,55.33
2016/11/19,55.32
2016/11/20,55.3
2016/11/21,55.34
2016/11/22,55.35
2016/11/23,55.34
2016/11/24,55.32
2016/11/25,55.3
2016/11/26,55.3
2016/11/27,55.28
2016/11/28,55.28
2016/11/29,55.28
2016/11/30,55.28
2016/12/1,55.24
2016/12/2,55.22
2016/12/3,55.24
2016/12/4,55.23
2016/12/5,55.23
2016/12/6,55.25
2016/12/7,55.25
2016/12/8,55.25
2016/12/9,55.26
2016/12/10,55.26
2016/12/11,55.29
2016/12/12,55.28
2016/12/13,55.32
2016/12/14,55.32
2016/12/15,55.32
2016/12/16,55.3
2016/12/17,55.31
2016/12/18,55.26
2016/12/19,55.25
2016/12/20,55.25
2016/12/21,55.27
2016/12/22,55.29
2016/12/23,55.31
2016/12/24,55.36
2016/12/25,55.37
2016/12/26,55.38
2016/12/27,55.35
2016/12/28,55.33
2016/12/29,55.31
2016/12/30,55.32
2016/12/31,55.34
2017/1/1,55.33
2017/1/2,55.34
2017/1/3,55.37
2017/1/4,55.4
2017/1/5,55.38
2017/1/6,55.39
2017/1/7,55.41
2017/1/8,55.39
2017/1/9,55.39
2017/1/10,55.41
2017/1/11,55.41
2017/1/12,55.42
2017/1/13,55.42
2017/1/14,55.38
2017/1/15,55.4
2017/1/16,55.3
2017/1/17,55.32
2017/1/18,55.3
2017/1/19,55.3
2017/1/20,55.3
2017/1/21,55.31
2017/1/22,55.32
2017/1/23,55.39
2017/1/24,55.43
2017/1/25,55.42
2017/1/26,55.48
2017/1/27,55.49
2017/1/28,55.51
2017/1/29,55.51
2017/1/30,55.47
2017/1/31,55.45
2017/2/1,55.48
2017/2/2,55.44
2017/2/3,55.44
2017/2/4,55.53
2017/2/5,55.6
2017/2/6,55.66
2017/2/7,55.62
2017/2/8,55.63
2017/2/9,55.62
2017/2/10,55.67
2017/2/11,55.59
2017/2/12,55.64
2017/2/13,55.67
2017/2/14,55.71
2017/2/15,55.7
2017/2/16,55.68
2017/2/17,55.68
2017/2/18,55.67
2017/2/19,55.64
2017/2/20,55.65
2017/2/21,55.6
2017/2/22,55.55
2017/2/23,55.56
2017/2/24,55.5
2017/2/25,55.49
2017/2/26,55.52
2017/2/27,55.43
2017/2/28,55.41
2017/3/1,55.45
2017/3/2,55.62
2017/3/3,55.59
2017/3/4,55.58
2017/3/5,55.55
2017/3/6,55.59
2017/3/7,55.6
2017/3/8,55.6
2017/3/9,55.65
2017/3/10,55.76
2017/3/11,55.77
2017/3/12,55.8
2017/3/13,55.78
2017/3/14,55.78
2017/3/15,55.81
2017/3/16,55.82
2017/3/17,55.72
2017/3/18,55.72
2017/3/19,55.72
2017/3/20,55.74
2017/3/21,55.76
2017/3/22,55.81
2017/3/23,55.82
2017/3/24,55.71
2017/3/25,55.68
2017/3/26,55.61
2017/3/27,55.65
2017/3/28,55.65
2017/3/29,55.62
2017/3/30,55.62
2017/3/31,55.36
2017/4/1,55.36
2017/4/2,55.42
2017/4/3,55.47
2017/4/4,55.68
2017/4/5,55.81
2017/4/6,55.85
2017/4/7,55.75
2017/4/8,55.71
2017/4/9,55.79
2017/4/10,55.75
2017/4/11,55.52
2017/4/12,55.47
2017/4/13,55.55
2017/4/14,55.52
2017/4/15,55.53
2017/4/16,55.58
2017/4/17,55.64
2017/4/18,55.7
2017/4/19,55.74
2017/4/20,55.73
2017/4/21,55.7
2017/4/22,55.67
2017/4/23,55.77
2017/4/24,55.86
2017/4/25,55.94
2017/4/26,55.98
2017/4/27,55.87
2017/4/28,55.88
2017/4/29,55.84
2017/4/30,55.83
2017/5/1,55.84
2017/5/2,55.88
2017/5/3,55.93
2017/5/4,55.94
2017/5/5,55.91
2017/5/6,55.89
2017/5/7,55.94
2017/5/8,55.93
2017/5/9,55.9
2017/5/10,55.85
2017/5/11,55.69
2017/5/12,55.65
2017/5/13,55.7
2017/5/14,55.67
2017/5/15,55.55
2017/5/16,55.58
2017/5/17,55.57
2017/5/18,55.58
2017/5/19,55.56
2017/5/20,55.59
2017/5/21,55.56
2017/5/22,55.5
2017/5/23,55.51
2017/5/24,55.52
2017/5/25,55.49
2017/5/26,55.43
2017/5/27,55.41
2017/5/28,55.55
2017/5/29,55.58
2017/5/30,55.59
2017/5/31,55.53
2017/6/1,55.54
2017/6/2,55.53
2017/6/3,55.69
2017/6/4,55.71
2017/6/5,55.75
2017/6/6,55.75
2017/6/7,55.76
2017/6/8,55.75
2017/6/9,55.8
2017/6/10,55.79
2017/6/11,55.78
2017/6/12,55.79
2017/6/13,55.81
2017/6/14,55.79
2017/6/15,55.8
2017/6/16,55.82
2017/6/17,55.78
2017/6/18,55.78
2017/6/19,55.77
2017/6/20,55.76
2017/6/21,55.79
2017/6/22,55.8
2017/6/23,55.77
2017/6/24,55.77
2017/6/25,55.76
2017/6/26,55.7
2017/6/27,55.68
2017/6/28,56.08
2017/6/29,56.05
2017/6/30,56.09
2017/7/1,56.1
2017/7/2,56.15
2017/7/3,56.08
2017/7/4,56.07
2017/7/5,56.09
2017/7/6,56.09
2017/7/7,56.1
2017/7/8,56.07
2017/7/9,56.08
2017/7/10,56.08
2017/7/11,56.1
2017/7/12,56.14
2017/7/13,56.15
2017/7/14,56.15
2017/7/15,56.18
2017/7/16,56.15
2017/7/17,56.14
2017/7/18,56.1
2017/7/19,56.1
2017/7/20,56.11
2017/7/21,56.12
2017/7/22,56.16
2017/7/23,56.16
2017/7/24,56.18
2017/7/25,56
2017/7/26,55.95
2017/7/27,55.95
2017/7/28,56.02
2017/7/29,56.09
2017/7/30,56.15
2017/7/31,56.14
2017/8/1,56.14
2017/8/2,56.14
2017/8/3,56.14
2017/8/4,56.15
2017/8/5,56.09
2017/8/6,56.11
2017/8/7,56.12
2017/8/8,56.12
2017/8/9,56.13
2017/8/10,56.13
2017/8/11,56.13
2017/8/12,56.12
2017/8/13,56.1
2017/8/14,56.09
2017/8/15,56.09
2017/8/16,56.11
2017/8/17,56.11
2017/8/18,56.15
2017/8/19,56.15
2017/8/20,56.16
2017/8/21,56.16
2017/8/22,56.17
2017/8/23,56.17
2017/8/24,56.16
2017/8/25,56.16
2017/8/26,56.16
2017/8/27,56.1
2017/8/28,56.05
2017/8/29,56.08
2017/8/30,56.07
2017/8/31,56.06
2017/9/1,56.1
2017/9/2,56.09
2017/9/3,56.1
2017/9/4,56.11
2017/9/5,56.12
2017/9/6,56.13
2017/9/7,56.14
2017/9/8,56.12
2017/9/9,56.11
2017/9/10,56.1
2017/9/11,56.1
2017/9/12,56.11
2017/9/13,56.13
2017/9/14,56.15
2017/9/15,56.16
2017/9/16,56.18
2017/9/17,56.19
2017/9/18,56.17
2017/9/19,56.16
2017/9/20,56.12
2017/9/21,56.13
2017/9/22,56.13
2017/9/23,56.12
2017/9/24,56.14
2017/9/25,56.12
2017/9/26,56.13
2017/9/27,56.15
2017/9/28,56.08
2017/9/29,55.96
2017/9/30,55.93
2017/10/1,55.93
2017/10/2,55.94
2017/10/3,55.97
2017/10/4,56
2017/10/5,56
2017/10/6,55.99
2017/10/7,56.03
2017/10/8,56.05
2017/10/9,56.06
2017/10/10,56.07
2017/10/11,56.06
2017/10/12,56.05
2017/10/13,56.06
2017/10/14,56.02
2017/10/15,56.02
2017/10/16,56.02
2017/10/17,56.04
2017/10/18,56.01
2017/10/19,56.03
2017/10/20,55.98
2017/10/21,55.97
2017/10/22,56
2017/10/23,56
2017/10/24,55.99
2017/10/25,55.99
2017/10/26,55.96
2017/10/27,55.88
2017/10/28,55.88
2017/10/29,55.9
2017/10/30,55.92
2017/10/31,55.91
2017/11/1,55.87
2017/11/2,56.01
2017/11/3,56.2
2017/11/4,56.24
2017/11/5,56.25
2017/11/6,56.22
2017/11/7,56.23
2017/11/8,56.26
2017/11/9,56.31
2017/11/10,56.26
2017/11/11,56.26
2017/11/12,56.3
2017/11/13,56.36
2017/11/14,56.26
2017/11/15,56.27
2017/11/16,56.22
2017/11/17,56.28
2017/11/18,56.31
2017/11/19,56.33
2017/11/20,56.37
2017/11/21,56.36
2017/11/22,56.38
2017/11/23,56.44
2017/11/24,56.47
2017/11/25,56.52
2017/11/26,56.55
2017/11/27,56.54
2017/11/28,56.55
2017/11/29,56.59
2017/11/30,56.57
2017/12/1,56.64
2017/12/2,56.66
2017/12/3,56.68
2017/12/4,56.67
2017/12/5,56.66
2017/12/6,56.67
2017/12/7,56.66
2017/12/8,56.65
2017/12/9,56.67
2017/12/10,56.68
2017/12/11,56.69
2017/12/12,56.65
2017/12/13,56.72
2017/12/14,56.73
2017/12/15,56.76
2017/12/16,56.89
2017/12/17,56.88
2017/12/18,56.92
2017/12/19,56.82
2017/12/20,56.81
2017/12/21,56.79
2017/12/22,56.83
2017/12/23,56.81
2017/12/24,56.79
2017/12/25,56.79
2017/12/26,56.77
2017/12/27,56.73
2017/12/28,56.76
2017/12/29,56.7
2017/12/30,56.73
2017/12/31,56.79
2018/1/1,56.74
2018/1/2,56.72
2018/1/3,56.73
2018/1/4,56.79
2018/1/5,56.77
2018/1/6,56.63
2018/1/7,56.56
2018/1/8,56.59
2018/1/9,56.69
2018/1/10,56.63
2018/1/11,56.5
2018/1/12,56.46
2018/1/13,56.5
2018/1/14,56.48
2018/1/15,56.54
2018/1/16,56.9
2018/1/17,57.17
2018/1/18,57.16
2018/1/19,57.12
2018/1/20,57.22
2018/1/21,57.27
2018/1/22,57.35
2018/1/23,57.45
2018/1/24,57.38
2018/1/25,57.38
2018/1/26,57.35
2018/1/27,57.35
2018/1/28,57.33
2018/1/29,57.22
2018/1/30,57.22
2018/1/31,57.28
2018/2/1,57.36
2018/2/2,57.38
2018/2/3,57.39
2018/2/4,57.34
2018/2/5,57.35
2018/2/6,57.35
2018/2/7,57.37
2018/2/8,57.39
2018/2/9,57.41
2018/2/10,57.38
2018/2/11,57.32
2018/2/12,57.35
2018/2/13,57.36
2018/2/14,57.34
2018/2/15,57.34
2018/2/16,57.38
2018/2/17,57.42
2018/2/18,57.41
2018/2/19,57.4
2018/2/20,57.4
2018/2/21,57.37
2018/2/22,57.33
2018/2/23,57.29
2018/2/24,57.27
2018/2/25,57.25
2018/2/26,57.21
2018/2/27,57.2
2018/2/28,57.21
2018/3/1,57.11
2018/3/2,57.1
2018/3/3,57.05
2018/3/4,57.05
2018/3/5,57.08
2018/3/6,57.09
2018/3/7,57.07
2018/3/8,57.06
2018/3/9,57.04
2018/3/10,57.06
2018/3/11,57.07
2018/3/12,57.07
2018/3/13,57.07
2018/3/14,57.07
2018/3/15,57.07
2018/3/16,57.11
2018/3/17,57.12
2018/3/18,57.12
2018/3/19,57.13
2018/3/20,57.12
2018/3/21,57.1
2018/3/22,57.1
2018/3/23,57.09
2018/3/24,57.13
2018/3/25,57.11
2018/3/26,57.11
2018/3/27,57.11
2018/3/28,57.12
2018/3/29,57.14
2018/3/30,57.14
2018/3/31,57.13
2018/4/1,57.15
2018/4/2,57.12
2018/4/3,57.12
2018/4/4,57.13
2018/4/5,57.11
2018/4/6,57.13
2018/4/7,57.14
2018/4/8,57.14
2018/4/9,57.11
2018/4/10,57.16
2018/4/11,57.13
2018/4/12,57.14
2018/4/13,57.14
2018/4/14,57.14
2018/4/15,57.1
2018/4/16,57.11
2018/4/17,57.12
2018/4/18,57.12
2018/4/19,57.11
2018/4/20,57.15
2018/4/21,57.16
2018/4/22,57.13
2018/4/23,57.15
2018/4/24,57.13
2018/4/25,57.13
2018/4/26,57.12
2018/4/27,57.1
2018/4/28,57.12
2018/4/29,57.13
2018/4/30,57.09
2018/5/1,57.04
2018/5/2,57.06
2018/5/3,57.06
2018/5/4,57.08
2018/5/5,57.08
2018/5/6,57.1
2018/5/7,57.12
2018/5/8,57.13
2018/5/9,57.11
2018/5/10,57.1
2018/5/11,57.08
2018/5/12,57.08
2018/5/13,57.11
2018/5/14,57.12
2018/5/15,57.1
2018/5/16,57.09
2018/5/17,57.1
2018/5/18,57.07
2018/5/19,57.07
2018/5/20,57.06
2018/5/21,57.06
2018/5/22,57.03
2018/5/23,57.07
2018/5/24,57.07
2018/5/25,57.08
2018/5/26,57.07
2018/5/27,57.07
2018/5/28,57.08
2018/5/29,57.07
