date, price
2014/3/28,558.46 
2014/3/31,555.45 
2014/4/1,565.61 
2014/4/2,565.45 
2014/4/3,568.18 
2014/4/4,541.65 
2014/4/7,536.68 
2014/4/8,553.38 
2014/4/9,562.60 
2014/4/10,539.47 
2014/4/11,529.15 
2014/4/14,531.06 
2014/4/15,534.97 
2014/4/16,555.02 
2014/4/17,534.63 
2014/4/21,527.17 
2014/4/22,533.35 
2014/4/23,525.50 
2014/4/24,523.72 
2014/4/25,514.77 
2014/4/28,515.73 
2014/4/29,526.26 
2014/4/30,525.22 
2014/5/1,529.90 
2014/5/2,526.48 
2014/5/5,526.36 
2014/5/6,513.73 
2014/5/7,508.56 
2014/5/8,509.60 
2014/5/9,517.31 
2014/5/12,528.47 
2014/5/13,531.63 
2014/5/14,525.21 
2014/5/15,518.56 
2014/5/16,519.20 
2014/5/19,527.41 
2014/5/20,528.32 
2014/5/21,537.46 
2014/5/22,543.57 
2014/5/23,551.19 
2014/5/27,564.40 
2014/5/28,560.14 
2014/5/29,558.55 
2014/5/30,558.36 
2014/6/2,552.41 
2014/6/3,543.45 
2014/6/4,543.17 
2014/6/5,552.38 
2014/6/6,554.81 
2014/6/9,560.58 
2014/6/10,559.02 
2014/6/11,557.31 
2014/6/12,549.84 
2014/6/13,550.25 
2014/6/16,542.79 
2014/6/17,541.52 
2014/6/18,551.85 
2014/6/19,553.38 
2014/6/20,554.84 
2014/6/23,563.40 
2014/6/24,563.07 
2014/6/25,577.07 
2014/6/26,574.42 
2014/6/27,575.66 
2014/6/30,573.70 
2014/7/1,581.07 
2014/7/2,580.74 
2014/7/3,583.13 
2014/7/7,580.66 
2014/7/8,569.53 
2014/7/9,574.50 
2014/7/10,569.54 
2014/7/11,577.59 
2014/7/14,583.27 
2014/7/15,583.18 
2014/7/16,581.06 
2014/7/17,572.16 
2014/7/18,593.45 
2014/7/21,587.86 
2014/7/22,593.11 
2014/7/23,594.35 
2014/7/24,591.73 
2014/7/25,587.41 
2014/7/28,588.98 
2014/7/29,584.01 
2014/7/30,585.81 
2014/7/31,570.03 
2014/8/1,564.52 
2014/8/4,571.58 
2014/8/5,563.52 
2014/8/6,564.82 
2014/8/7,561.82 
2014/8/8,567.21 
2014/8/11,566.33 
2014/8/12,561.19 
2014/8/13,573.21 
2014/8/14,573.08 
2014/8/15,571.91 
2014/8/18,580.57 
2014/8/19,585.25 
2014/8/20,582.89 
2014/8/21,581.77 
2014/8/22,580.96 
2014/8/25,578.61 
2014/8/26,576.28 
2014/8/27,569.44 
2014/8/28,567.64 
2014/8/29,570.03 
2014/9/2,575.75 
2014/9/3,576.36 
2014/9/4,580.39 
2014/9/5,584.48 
2014/9/8,588.11 
2014/9/9,579.42 
2014/9/10,581.50 
2014/9/11,579.76 
2014/9/12,574.04 
2014/9/15,571.53 
2014/9/16,578.36 
2014/9/17,583.17 
2014/9/18,587.66 
2014/9/19,594.45 
2014/9/22,585.76 
2014/9/23,579.54 
2014/9/24,586.38 
2014/9/25,573.49 
2014/9/26,575.52 
2014/9/29,574.78 
2014/9/30,575.78 
2014/10/1,566.71 
2014/10/2,568.52 
2014/10/3,573.70 
2014/10/6,575.77 
2014/10/7,562.20 
2014/10/8,570.93 
2014/10/9,559.34 
2014/10/10,543.00 
2014/10/13,531.75 
2014/10/14,536.47 
2014/10/15,528.58 
2014/10/16,523.07 
2014/10/17,509.77 
2014/10/20,519.41 
2014/10/21,525.10 
2014/10/22,531.25 
2014/10/23,542.49 
2014/10/24,538.30 
2014/10/27,539.29 
2014/10/28,547.40 
2014/10/29,547.83 
2014/10/30,548.80 
2014/10/31,557.55 
2014/11/3,553.70 
2014/11/4,552.59 
2014/11/5,544.43 
2014/11/6,540.56 
2014/11/7,539.53 
2014/11/10,545.99 
2014/11/11,548.78 
2014/11/12,545.81 
2014/11/13,543.89 
2014/11/14,542.91 
2014/11/17,535.04 
2014/11/18,533.57 
2014/11/19,535.52 
2014/11/20,533.37 
2014/11/21,536.03 
2014/11/24,537.79 
2014/11/25,539.60 
2014/11/26,538.89 
2014/11/28,540.35 
2014/12/1,532.34 
2014/12/2,532.29 
2014/12/3,529.87 
2014/12/4,535.84 
2014/12/5,523.82 
2014/12/8,525.54 
2014/12/9,531.91 
2014/12/10,524.62 
2014/12/11,526.89 
2014/12/12,517.24 
2014/12/15,512.39 
2014/12/16,494.03 
2014/12/17,503.51 
2014/12/18,509.70 
2014/12/19,514.94 
2014/12/22,523.43 
2014/12/23,529.14 
2014/12/24,527.32 
2014/12/26,532.57 
2014/12/29,528.88 
2014/12/30,528.97 
2014/12/31,524.96 
2015/1/2,523.37 
2015/1/5,512.46 
2015/1/6,500.59 
2015/1/7,499.73 
2015/1/8,501.30 
2015/1/9,494.81 
2015/1/12,491.20 
2015/1/13,494.82 
