date, price
1980年12月12日,0.52 
1980年12月15日,0.49 
1980年12月16日,0.45 
1980年12月17日,0.46 
1980年12月18日,0.48 
1980年12月19日,0.51 
1980年12月22日,0.53 
1980年12月23日,0.55 
1980年12月24日,0.58 
1980年12月26日,0.64 
1980年12月29日,0.65 
1980年12月30日,0.63 
1980年12月31日,0.61 
1981年1月2日,0.62 
1981年1月5日,0.60 
1981年1月6日,0.58 
1981年1月7日,0.55 
1981年1月8日,0.54 
1981年1月9日,0.57 
1981年1月12日,0.57 
1981年1月13日,0.55 
1981年1月14日,0.55 
1981年1月15日,0.56 
1981年1月16日,0.56 
1981年1月19日,0.59 
1981年1月20日,0.57 
1981年1月21日,0.58 
1981年1月22日,0.59 
1981年1月23日,0.59 
1981年1月26日,0.58 
1981年1月27日,0.58 
1981年1月28日,0.56 
1981年1月29日,0.54 
1981年1月30日,0.51 
1981年2月2日,0.48 
1981年2月3日,0.50 
1981年2月4日,0.51 
1981年2月5日,0.52 
1981年2月6日,0.52 
1981年2月9日,0.49 
1981年2月10日,0.49 
1981年2月11日,0.47 
1981年2月12日,0.47 
1981年2月13日,0.46 
1981年2月17日,0.47 
1981年2月18日,0.49 
1981年2月19日,0.46 
1981年2月20日,0.44 
1981年2月23日,0.44 
1981年2月24日,0.43 
1981年2月25日,0.45 
1981年2月26日,0.46 
1981年2月27日,0.48 
1981年3月2日,0.48 
1981年3月3日,0.47 
1981年3月4日,0.47 
1981年3月5日,0.46 
1981年3月6日,0.46 
1981年3月9日,0.42 
1981年3月10日,0.40 
1981年3月11日,0.39 
1981年3月12日,0.40 
1981年3月13日,0.40 
1981年3月16日,0.42 
1981年3月17日,0.44 
1981年3月18日,0.46 
1981年3月19日,0.46 
1981年3月20日,0.46 
1981年3月23日,0.48 
1981年3月24日,0.48 
1981年3月25日,0.47 
1981年3月26日,0.46 
1981年3月27日,0.44 
1981年3月30日,0.45 
1981年3月31日,0.44 
1981年4月1日,0.44 
1981年4月2日,0.47 
1981年4月3日,0.48 
1981年4月6日,0.47 
1981年4月7日,0.46 
1981年4月8日,0.49 
1981年4月9日,0.49 
1981年4月10日,0.50 
1981年4月13日,0.50 
1981年4月14日,0.50 
1981年4月15日,0.48 
1981年4月16日,0.45 
1981年4月20日,0.46 
1981年4月21日,0.49 
1981年4月22日,0.51 
1981年4月23日,0.52 
1981年4月24日,0.52 
1981年4月27日,0.52 
1981年4月28日,0.51 
1981年4月29日,0.50 
1981年4月30日,0.51 
1981年5月1日,0.51 
1981年5月4日,0.51 
1981年5月5日,0.50 
1981年5月6日,0.49 
1981年5月7日,0.50 
1981年5月8日,0.50 
1981年5月11日,0.49 
1981年5月12日,0.50 
1981年5月13日,0.49 
1981年5月14日,0.48 
1981年5月15日,0.50 
1981年5月18日,0.50 
1981年5月19日,0.49 
1981年5月20日,0.51 
1981年5月21日,0.54 
1981年5月22日,0.56 
1981年5月26日,0.56 
1981年5月27日,0.59 
1981年5月28日,0.59 
1981年5月29日,0.59 
1981年6月1日,0.59 
1981年6月2日,0.56 
1981年6月3日,0.57 
1981年6月4日,0.58 
1981年6月5日,0.57 
1981年6月8日,0.55 
1981年6月9日,0.56 
1981年6月10日,0.57 
1981年6月11日,0.59 
1981年6月12日,0.58 
1981年6月15日,0.58 
1981年6月16日,0.57 
1981年6月17日,0.56 
1981年6月18日,0.56 
1981年6月19日,0.54 
1981年6月22日,0.52 
1981年6月23日,0.53 
1981年6月24日,0.52 
1981年6月25日,0.53 
1981年6月26日,0.52 
1981年6月29日,0.51 
1981年6月30日,0.47 
1981年7月1日,0.46 
1981年7月2日,0.46 
1981年7月6日,0.45 
1981年7月7日,0.45 
1981年7月8日,0.47 
1981年7月9日,0.43 
1981年7月10日,0.40 
1981年7月13日,0.41 
1981年7月14日,0.43 
1981年7月15日,0.44 
1981年7月16日,0.45 
1981年7月17日,0.46 
1981年7月20日,0.43 
1981年7月21日,0.43 
1981年7月22日,0.41 
1981年7月23日,0.42 
1981年7月24日,0.43 
1981年7月27日,0.45 
1981年7月28日,0.43 
1981年7月29日,0.43 
1981年7月30日,0.44 
1981年7月31日,0.45 
1981年8月3日,0.45 
1981年8月4日,0.45 
1981年8月5日,0.46 
1981年8月6日,0.45 
1981年8月7日,0.45 
1981年8月11日,0.44 
1981年8月12日,0.43 
1981年8月13日,0.42 
1981年8月14日,0.41 
1981年8月17日,0.40 
1981年8月18日,0.39 
1981年8月19日,0.39 
1981年8月20日,0.39 
1981年8月21日,0.36 
1981年8月24日,0.34 
1981年8月25日,0.35 
1981年8月26日,0.34 
1981年8月27日,0.34 
1981年8月28日,0.36 
1981年8月31日,0.36 
1981年9月1日,0.38 
1981年9月2日,0.39 
1981年9月3日,0.37 
